Timestamp	IP	cpu_id	cpu_usage
1546329600	154.139.95.186	1	13%
1546329660	10.50.79.99	0	40%
1546329720	199.230.2.101	0	11%
1546329780	213.55.33.102	1	4%
1546329840	5.78.6.148	0	23%
1546329900	59.254.107.56	1	79%
1546329960	170.6.215.80	1	18%
1546330020	137.152.162.148	1	90%
1546330080	230.158.62.57	1	80%
1546330140	2.225.186.140	0	73%
1546330200	3.187.181.64	0	67%
1546330260	133.121.86.218	0	89%
1546330320	245.134.206.230	1	41%
1546330380	178.152.213.226	1	54%
1546330440	153.109.151.102	0	57%
1546330500	140.17.53.169	0	72%
1546330560	2.15.250.229	1	65%
1546330620	16.64.221.25	0	61%
1546330680	38.22.98.135	1	40%
1546330740	156.251.164.200	1	53%
1546330800	167.142.110.143	1	75%
1546330860	0.170.120.244	1	42%
1546330920	250.209.112.86	1	29%
1546330980	74.227.81.23	1	40%
1546331040	80.18.242.98	0	70%
1546331100	200.89.121.197	1	66%
1546331160	65.185.56.70	0	95%
1546331220	76.227.231.73	0	59%
1546331280	217.131.120.238	0	85%
1546331340	38.170.182.153	0	77%
1546331400	73.5.192.238	0	35%
1546331460	243.7.166.51	1	4%
1546331520	124.191.47.67	1	71%
1546331580	142.123.141.218	0	92%
1546331640	184.98.13.251	1	6%
1546331700	200.93.244.218	1	29%
1546331760	55.155.212.195	1	18%
1546331820	217.225.94.124	0	45%
1546331880	71.117.70.176	0	34%
1546331940	19.106.54.195	1	78%
1546332000	253.114.168.174	0	37%
1546332060	244.96.63.106	0	98%
1546332120	140.59.109.183	1	60%
1546332180	167.159.124.116	0	84%
1546332240	176.66.198.2	1	64%
1546332300	42.180.101.108	0	14%
1546332360	122.34.155.196	1	19%
1546332420	201.15.181.68	0	75%
1546332480	92.77.180.139	1	40%
1546332540	120.49.102.60	0	75%
1546332600	238.77.156.108	1	11%
1546332660	136.6.44.182	1	68%
1546332720	137.123.189.192	1	40%
1546332780	80.165.161.189	1	75%
1546332840	221.27.2.32	0	38%
1546332900	244.231.171.118	1	94%
1546332960	254.18.252.207	1	83%
1546333020	94.118.82.213	1	84%
1546333080	60.164.176.45	0	91%
1546333140	215.180.186.132	0	22%
